,state,state_po,year,result
0,Alabama,AL,2000,-1
1,Alaska,AK,2000,-1
2,Arizona,AZ,2000,-1
3,Arkansas,AR,2000,-1
4,California,CA,2000,1
5,Colorado,CO,2000,-1
6,Connecticut,CT,2000,1
7,Delaware,DE,2000,1
8,District Of Columbia,DC,2000,1
9,Florida,FL,2000,-1
10,Georgia,GA,2000,-1
11,Hawaii,HI,2000,1
12,Idaho,ID,2000,-1
13,Illinois,IL,2000,1
14,Indiana,IN,2000,-1
15,Iowa,IA,2000,1
16,Kansas,KS,2000,-1
17,Kentucky,KY,2000,-1
18,Louisiana,LA,2000,-1
19,Maine,ME,2000,1
20,Maryland,MD,2000,1
21,Massachusetts,MA,2000,1
22,Michigan,MI,2000,1
23,Minnesota,MN,2000,1
24,Mississippi,MS,2000,-1
25,Missouri,MO,2000,-1
26,Montana,MT,2000,-1
27,Nebraska,NE,2000,-1
28,Nevada,NV,2000,-1
29,New Hampshire,NH,2000,-1
30,New Jersey,NJ,2000,1
31,New Mexico,NM,2000,1
32,New York,NY,2000,1
33,North Carolina,NC,2000,-1
34,North Dakota,ND,2000,-1
35,Ohio,OH,2000,-1
36,Oklahoma,OK,2000,-1
37,Oregon,OR,2000,1
38,Pennsylvania,PA,2000,1
39,Rhode Island,RI,2000,1
40,South Carolina,SC,2000,-1
41,South Dakota,SD,2000,-1
42,Tennessee,TN,2000,-1
43,Texas,TX,2000,-1
44,Utah,UT,2000,-1
45,Vermont,VT,2000,1
46,Virginia,VA,2000,-1
47,Washington,WA,2000,1
48,West Virginia,WV,2000,-1
49,Wisconsin,WI,2000,1
50,Wyoming,WY,2000,-1
0,Alabama,AL,2004,-1
1,Alaska,AK,2004,-1
2,Arizona,AZ,2004,-1
3,Arkansas,AR,2004,-1
4,California,CA,2004,1
5,Colorado,CO,2004,-1
6,Connecticut,CT,2004,1
7,Delaware,DE,2004,1
8,District Of Columbia,DC,2004,1
9,Florida,FL,2004,-1
10,Georgia,GA,2004,-1
11,Hawaii,HI,2004,1
12,Idaho,ID,2004,-1
13,Illinois,IL,2004,1
14,Indiana,IN,2004,-1
15,Iowa,IA,2004,-1
16,Kansas,KS,2004,-1
17,Kentucky,KY,2004,-1
18,Louisiana,LA,2004,-1
19,Maine,ME,2004,1
20,Maryland,MD,2004,1
21,Massachusetts,MA,2004,1
22,Michigan,MI,2004,1
23,Minnesota,MN,2004,1
24,Mississippi,MS,2004,-1
25,Missouri,MO,2004,-1
26,Montana,MT,2004,-1
27,Nebraska,NE,2004,-1
28,Nevada,NV,2004,-1
29,New Hampshire,NH,2004,1
30,New Jersey,NJ,2004,1
31,New Mexico,NM,2004,-1
32,New York,NY,2004,1
33,North Carolina,NC,2004,-1
34,North Dakota,ND,2004,-1
35,Ohio,OH,2004,-1
36,Oklahoma,OK,2004,-1
37,Oregon,OR,2004,1
38,Pennsylvania,PA,2004,1
39,Rhode Island,RI,2004,1
40,South Carolina,SC,2004,-1
41,South Dakota,SD,2004,-1
42,Tennessee,TN,2004,-1
43,Texas,TX,2004,-1
44,Utah,UT,2004,-1
45,Vermont,VT,2004,1
46,Virginia,VA,2004,-1
47,Washington,WA,2004,1
48,West Virginia,WV,2004,-1
49,Wisconsin,WI,2004,1
50,Wyoming,WY,2004,-1
0,Alabama,AL,2008,-1
1,Alaska,AK,2008,-1
2,Arizona,AZ,2008,-1
3,Arkansas,AR,2008,-1
4,California,CA,2008,1
5,Colorado,CO,2008,1
6,Connecticut,CT,2008,1
7,Delaware,DE,2008,1
8,District Of Columbia,DC,2008,1
9,Florida,FL,2008,1
10,Georgia,GA,2008,-1
11,Hawaii,HI,2008,1
12,Idaho,ID,2008,-1
13,Illinois,IL,2008,1
14,Indiana,IN,2008,1
15,Iowa,IA,2008,1
16,Kansas,KS,2008,-1
17,Kentucky,KY,2008,-1
18,Louisiana,LA,2008,-1
19,Maine,ME,2008,1
20,Maryland,MD,2008,1
21,Massachusetts,MA,2008,1
22,Michigan,MI,2008,1
23,Minnesota,MN,2008,1
24,Mississippi,MS,2008,-1
25,Missouri,MO,2008,-1
26,Montana,MT,2008,-1
27,Nebraska,NE,2008,-1
28,Nevada,NV,2008,1
29,New Hampshire,NH,2008,1
30,New Jersey,NJ,2008,1
31,New Mexico,NM,2008,1
32,New York,NY,2008,1
33,North Carolina,NC,2008,1
34,North Dakota,ND,2008,-1
35,Ohio,OH,2008,1
36,Oklahoma,OK,2008,-1
37,Oregon,OR,2008,1
38,Pennsylvania,PA,2008,1
39,Rhode Island,RI,2008,1
40,South Carolina,SC,2008,-1
41,South Dakota,SD,2008,-1
42,Tennessee,TN,2008,-1
43,Texas,TX,2008,-1
44,Utah,UT,2008,-1
45,Vermont,VT,2008,1
46,Virginia,VA,2008,1
47,Washington,WA,2008,1
48,West Virginia,WV,2008,-1
49,Wisconsin,WI,2008,1
50,Wyoming,WY,2008,-1
0,Alabama,AL,2012,-1
1,Alaska,AK,2012,-1
2,Arizona,AZ,2012,-1
3,Arkansas,AR,2012,-1
4,California,CA,2012,1
5,Colorado,CO,2012,1
6,Connecticut,CT,2012,1
7,Delaware,DE,2012,1
8,District Of Columbia,DC,2012,1
9,Florida,FL,2012,1
10,Georgia,GA,2012,-1
11,Hawaii,HI,2012,1
12,Idaho,ID,2012,-1
13,Illinois,IL,2012,1
14,Indiana,IN,2012,-1
15,Iowa,IA,2012,1
16,Kansas,KS,2012,-1
17,Kentucky,KY,2012,-1
18,Louisiana,LA,2012,-1
19,Maine,ME,2012,1
20,Maryland,MD,2012,1
21,Massachusetts,MA,2012,1
22,Michigan,MI,2012,1
23,Minnesota,MN,2012,1
24,Mississippi,MS,2012,-1
25,Missouri,MO,2012,-1
26,Montana,MT,2012,-1
27,Nebraska,NE,2012,-1
28,Nevada,NV,2012,1
29,New Hampshire,NH,2012,1
30,New Jersey,NJ,2012,1
31,New Mexico,NM,2012,1
32,New York,NY,2012,1
33,North Carolina,NC,2012,-1
34,North Dakota,ND,2012,-1
35,Ohio,OH,2012,1
36,Oklahoma,OK,2012,-1
37,Oregon,OR,2012,1
38,Pennsylvania,PA,2012,1
39,Rhode Island,RI,2012,1
40,South Carolina,SC,2012,-1
41,South Dakota,SD,2012,-1
42,Tennessee,TN,2012,-1
43,Texas,TX,2012,-1
44,Utah,UT,2012,-1
45,Vermont,VT,2012,1
46,Virginia,VA,2012,1
47,Washington,WA,2012,1
48,West Virginia,WV,2012,-1
49,Wisconsin,WI,2012,1
50,Wyoming,WY,2012,-1
0,Alabama,AL,2016,-1
1,Alaska,AK,2016,-1
2,Arizona,AZ,2016,-1
