,state,state_po,year,candidate,party,candidatevotes,Electoral_College_Votes
0,Alabama,AL,2000,AL GORE,DEMOCRAT,695602,9.0
1,Alabama,AL,2000,GEORGE W. BUSH,REPUBLICAN,944409,9.0
2,Alabama,AL,2000,OTHER,OTHER,14191,9.0
3,Alabama,AL,2000,RALPH NADER,GREEN,18349,9.0
4,Alabama,AL,2004,GEORGE W. BUSH,REPUBLICAN,1176394,9.0
5,Alabama,AL,2004,JOHN KERRY,DEMOCRAT,693933,9.0
6,Alabama,AL,2004,OTHER,OTHER,13088,9.0
7,Alabama,AL,2008,BARACK OBAMA,DEMOCRAT,813479,9.0
8,Alabama,AL,2008,JOHN MCCAIN,REPUBLICAN,1266546,9.0
9,Alabama,AL,2008,OTHER,OTHER,19794,9.0
10,Alabama,AL,2012,BARACK OBAMA,DEMOCRAT,795696,9.0
11,Alabama,AL,2012,MITT ROMNEY,REPUBLICAN,1255925,9.0
12,Alabama,AL,2012,OTHER,OTHER,18732,9.0
13,Alabama,AL,2016,DONALD TRUMP,REPUBLICAN,1318250,9.0
14,Alabama,AL,2016,HILLARY CLINTON,DEMOCRAT,729547,9.0
15,Alabama,AL,2016,OTHER,OTHER,75570,9.0
16,Alabama,AL,2020,DONALD J TRUMP,REPUBLICAN,1441170,9.0
17,Alabama,AL,2020,JOSEPH R BIDEN JR,DEMOCRAT,849624,9.0
18,Alabama,AL,2020,OTHER,OTHER,32488,9.0
19,Alaska,AK,2000,AL GORE,DEMOCRAT,79004,3.0
20,Alaska,AK,2000,GEORGE W. BUSH,REPUBLICAN,167398,3.0
21,Alaska,AK,2000,OTHER,OTHER,10381,3.0
22,Alaska,AK,2000,RALPH NADER,GREEN,28747,3.0
23,Alaska,AK,2004,GEORGE W. BUSH,REPUBLICAN,292267,3.0
24,Alaska,AK,2004,JOHN KERRY,DEMOCRAT,180365,3.0
25,Alaska,AK,2004,OTHER,OTHER,16061,3.0
26,Alaska,AK,2008,BARACK OBAMA,DEMOCRAT,123594,3.0
27,Alaska,AK,2008,JOHN MCCAIN,REPUBLICAN,193841,3.0
28,Alaska,AK,2008,OTHER,OTHER,8762,3.0
29,Alaska,AK,2012,BARACK OBAMA,DEMOCRAT,122640,3.0
30,Alaska,AK,2012,MITT ROMNEY,REPUBLICAN,164676,3.0
31,Alaska,AK,2012,OTHER,OTHER,13179,3.0
32,Alaska,AK,2016,DONALD TRUMP,REPUBLICAN,163387,3.0
33,Alaska,AK,2016,HILLARY CLINTON,DEMOCRAT,116454,3.0
34,Alaska,AK,2016,OTHER,OTHER,38557,3.0
35,Alaska,AK,2020,DONALD J TRUMP,REPUBLICAN,189951,3.0
36,Alaska,AK,2020,JO JORGENSEN,LIBERTARIAN,8897,3.0
37,Alaska,AK,2020,JOSEPH R BIDEN JR,DEMOCRAT,153778,3.0
38,Alaska,AK,2020,OTHER,GREEN,2673,3.0
39,Alaska,AK,2020,OTHER,OTHER,2270,3.0
40,Arizona,AZ,2000,AL GORE,DEMOCRAT,685341,11.0
41,Arizona,AZ,2000,GEORGE W. BUSH,REPUBLICAN,781652,11.0
42,Arizona,AZ,2000,OTHER,OTHER,21475,11.0
43,Arizona,AZ,2000,RALPH NADER,GREEN,45645,11.0
44,Arizona,AZ,2004,GEORGE W. BUSH,REPUBLICAN,1104294,11.0
45,Arizona,AZ,2004,JOHN KERRY,DEMOCRAT,893524,11.0
46,Arizona,AZ,2004,OTHER,OTHER,14767,11.0
47,Arizona,AZ,2008,BARACK OBAMA,DEMOCRAT,1034707,11.0
48,Arizona,AZ,2008,JOHN MCCAIN,REPUBLICAN,1230111,11.0
49,Arizona,AZ,2008,OTHER,OTHER,28657,11.0
50,Arizona,AZ,2012,BARACK OBAMA,DEMOCRAT,1025232,11.0
51,Arizona,AZ,2012,MITT ROMNEY,REPUBLICAN,1233654,11.0
52,Arizona,AZ,2012,OTHER,OTHER,40368,11.0
53,Arizona,AZ,2016,DONALD TRUMP,REPUBLICAN,1252401,11.0
54,Arizona,AZ,2016,HILLARY CLINTON,DEMOCRAT,1161167,11.0
55,Arizona,AZ,2016,OTHER,OTHER,190709,11.0
56,Arizona,AZ,2020,DONALD J TRUMP,REPUBLICAN,1661686,11.0
57,Arizona,AZ,2020,JO JORGENSEN,LIBERTARIAN,51465,11.0
58,Arizona,AZ,2020,JOSEPH R BIDEN JR,DEMOCRAT,1672143,11.0
59,Arizona,AZ,2020,OTHER,GREEN,0,11.0
60,Arizona,AZ,2020,OTHER,OTHER,0,11.0
61,Arkansas,AR,2000,AL GORE,DEMOCRAT,422768,6.0
62,Arkansas,AR,2000,GEORGE W. BUSH,REPUBLICAN,472940,6.0
63,Arkansas,AR,2000,OTHER,OTHER,12652,6.0
64,Arkansas,AR,2000,RALPH NADER,GREEN,13421,6.0
65,Arkansas,AR,2004,GEORGE W. BUSH,REPUBLICAN,572770,6.0
66,Arkansas,AR,2004,JOHN KERRY,DEMOCRAT,468631,6.0
67,Arkansas,AR,2004,OTHER,OTHER,12293,6.0
68,Arkansas,AR,2008,BARACK OBAMA,DEMOCRAT,422310,6.0
69,Arkansas,AR,2008,JOHN MCCAIN,REPUBLICAN,638017,6.0
70,Arkansas,AR,2008,OTHER,OTHER,26290,6.0
71,Arkansas,AR,2012,BARACK OBAMA,DEMOCRAT,394409,6.0
